model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std,dataset
openai/text-davinci-003,10,0.03800000000000001,0.03522782990761707,0.622,0.05015974481593781,0.635,0.0,LegalSupport
together/bloom,10,0.06400000000000002,0.04142463035441595,0.548,0.07493997598078078,0.534,0.0,LegalSupport
together/opt-175b,10,0.06759999999999998,0.04726774798951184,0.5700000000000001,0.06403124237432849,0.518,0.0,LegalSupport
together/redpajama-incite-base-3b-v1,10,0.04440000000000001,0.031569605635801024,0.49399999999999994,0.04983974317750845,0.516,0.0,LegalSupport
writer/palmyra-x,10,0.07599999999999998,0.03878143885933064,0.644,0.08522910301065005,0.6479999999999999,1.1102230246251565e-16,LegalSupport
AlephAlpha/luminous-base,10,0.032683602771362584,0.03915151813183186,0.07600000000000001,0.04715930449020639,0.05658198614318707,0.0,MATH-Classic
ai21/j1-grande-v2-beta,10,0.03093764434180138,0.022496415237476853,0.092,0.03815756805667783,0.09468822170900693,0.0,MATH-Classic
ai21/j1-jumbo,10,0.024,0.016474530081157457,0.044,0.028,0.05196304849884527,0.0,MATH-Classic
ai21/j2-large,10,0.028000000000000004,0.015681287180236012,0.044000000000000004,0.032,0.0415704387990762,6.938893903907228e-18,MATH-Classic
anthropic/stanford-online-all-v4-s3,10,0.04166743648960739,0.029553776853547452,0.182,0.046861498055439925,0.16166281755196305,0.0,MATH-Classic
cohere/command-xlarge-beta,10,0.02483140877598153,0.021311251721592123,0.092,0.03249615361854385,0.09584295612009239,1.3877787807814457e-17,MATH-Classic
cohere/xlarge-20221108,10,0.03799999999999999,0.029839974858353574,0.10600000000000001,0.048207883172775794,0.10277136258660509,1.3877787807814457e-17,MATH-Classic
lmsys/vicuna-7b-v1.3,10,0.03556581986143187,0.023419881400131556,0.068,0.03709447398198281,0.08891454965357967,0.0,MATH-Classic
microsoft/TNLGv2_530B,10,0.0299445727482679,0.013336290423365323,0.13000000000000003,0.03130495168499706,0.1397228637413395,0.0,MATH-Classic
microsoft/TNLGv2_7B,10,0.032295612009237876,0.015977369335346738,0.052000000000000005,0.03370459909270544,0.03926096997690531,0.0,MATH-Classic
mosaicml/mpt-30b,10,0.04619861431870669,0.03504021689314906,0.128,0.05528109984434102,0.14549653579676675,0.0,MATH-Classic
openai/text-babbage-001,10,0.012309468822170901,0.005556190341717845,0.01,0.01341640786499874,0.011547344110854504,0.0,MATH-Classic
openai/text-davinci-003,10,0.06799999999999999,0.04291952947527821,0.44000000000000006,0.07999999999999999,0.4318706697459584,5.551115123125783e-17,MATH-Classic
together/bloom,10,0.028000000000000004,0.014138126750581573,0.048,0.031240998703626618,0.05080831408775981,6.938893903907228e-18,MATH-Classic
together/opt-175b,10,0.022,0.019160420641020814,0.054000000000000006,0.02690724809414742,0.042725173210161664,0.0,MATH-Classic
together/redpajama-incite-base-3b-v1,10,0.018314087759815238,0.010646230447615451,0.038,0.020880613017821098,0.0415704387990762,6.938893903907228e-18,MATH-Classic
writer/palmyra-x,10,0.06599999999999999,0.041188838470282034,0.362,0.07717512552629895,0.371824480369515,0.0,MATH-Classic
